"HostId","HostSince","PropertyName","Neighbourhood","PropertyType","RoomType","Zipcode","Beds","NumberOfRecords","NumberOfReviews","Price","ScoresRating"
"5162530","","","Brooklyn","Apartment","Entire home/apt","11249","1","","0","145",""
"33134899","","","Brooklyn","Apartment","Private room","11206","1","","1","37",""
"39608626","","","Manhattan","Apartment","Private room","10032","1","","1","28",""
