id,category_alias,category_title,restaurant_id,restaurant_name,restaurant_price,restaurant_review_count,restaurant_rating,restaurant_phone,restaurant_distance,restaurant_coordinates_latitude,restaurant_coordinates_longitude,restaurant_location_zip_code,restaurant_location_address1
101,sandwiches,Sandwiches,ZTcs1Un-EC2ssadXifM4Dg,Mogg,€€,110,4.0,+4930330060770,1278.5184415017968,52.526492,13.394437,10117,Auguststr. 11 - 13
102,cafes,Cafes,fYaEKJzXZvaJ0E9HrtEbTg,Du Bonheur,€€,49,4.5,+493056591955,1987.9928244104124,52.5362432,13.3978679,10115,Brunnenstr. 39
103,bakeries,Bakeries,fYaEKJzXZvaJ0E9HrtEbTg,Du Bonheur,€€,49,4.5,+493056591955,1987.9928244104124,52.5362432,13.3978679,10115,Brunnenstr. 39
104,delicatessen,Delicatessen,fYaEKJzXZvaJ0E9HrtEbTg,Du Bonheur,€€,49,4.5,+493056591955,1987.9928244104124,52.5362432,13.3978679,10115,Brunnenstr. 39
105,ramen,Ramen,BoF7-MWqdvCPhAlir9KTJw,ULT Ramen,€,17,4.0,,2933.344720746928,52.54999,13.36533,13347,Schulstr. 29
106,italian,Italian,Uv0i4nrfjgUVJenHbcxlyA,Dolcini,€€,34,4.5,+493024630456,1378.432867680872,52.51384,13.38688,10117,Jägerstr. 70
107,bakeries,Bakeries,ZU-Ff2smJhlL3zqDBmjS7w,Cafe Albrecht,€,9,4.0,+493053156698,561.0560883180382,52.5231500048486,13.3838896792413,10117,Reinhardtstr. 23
108,coffee,Coffee & Tea,ZU-Ff2smJhlL3zqDBmjS7w,Cafe Albrecht,€,9,4.0,+493053156698,561.0560883180382,52.5231500048486,13.3838896792413,10117,Reinhardtstr. 23
109,breakfast_brunch,Breakfast & Brunch,ZU-Ff2smJhlL3zqDBmjS7w,Cafe Albrecht,€,9,4.0,+493053156698,561.0560883180382,52.5231500048486,13.3838896792413,10117,Reinhardtstr. 23
110,wine_bars,Wine Bars,uR7wsySeBtVySv9QO8_hgg,Weingalerie und Café NÖ!,€€,131,4.5,+49302010871,1418.375690635572,52.51327,13.38625,10117,Glinkastr. 23
111,mediterranean,Mediterranean,uR7wsySeBtVySv9QO8_hgg,Weingalerie und Café NÖ!,€€,131,4.5,+49302010871,1418.375690635572,52.51327,13.38625,10117,Glinkastr. 23
112,flatbread,Flatbread,uR7wsySeBtVySv9QO8_hgg,Weingalerie und Café NÖ!,€€,131,4.5,+49302010871,1418.375690635572,52.51327,13.38625,10117,Glinkastr. 23
113,german,German,MV2ZhPtmZQJ2WCVgzEA5XQ,Zur Haxe,€€,82,4.5,+49304216312,4712.711882389639,52.54477,13.43699,10409,Erich-Weinert-Str. 128
114,scottish,Scottish,FqjkhdhJIpxAVFGfytu73A,Hirsch & Hase,,5,5.0,+4917631322073,2281.968223179457,52.542081,13.393723,13355,Brunnenstr. 73
115,beergarden,Beer Garden,FqjkhdhJIpxAVFGfytu73A,Hirsch & Hase,,5,5.0,+4917631322073,2281.968223179457,52.542081,13.393723,13355,Brunnenstr. 73
116,tapasmallplates,Tapas/Small Plates,FqjkhdhJIpxAVFGfytu73A,Hirsch & Hase,,5,5.0,+4917631322073,2281.968223179457,52.542081,13.393723,13355,Brunnenstr. 73
117,french,French,RUH98f6xTacjyDHkOVyoBA,Mirage Bistrot,,3,4.5,+493046992074,2341.426078199031,52.5450588943835,13.3691697567701,13347,Reinickendorfer Str. 110
118,breakfast_brunch,Breakfast & Brunch,RUH98f6xTacjyDHkOVyoBA,Mirage Bistrot,,3,4.5,+493046992074,2341.426078199031,52.5450588943835,13.3691697567701,13347,Reinickendorfer Str. 110
119,mediterranean,Mediterranean,RUH98f6xTacjyDHkOVyoBA,Mirage Bistrot,,3,4.5,+493046992074,2341.426078199031,52.5450588943835,13.3691697567701,13347,Reinickendorfer Str. 110
120,burgers,Burgers,K1U73tI42PdMoyj3pdSDcw,Louis Alfons,€€,14,4.5,+493064491107,2235.804649472597,52.544307,13.371223,13347,Gerichtstr. 60
121,steak,Steakhouses,K1U73tI42PdMoyj3pdSDcw,Louis Alfons,€€,14,4.5,+493064491107,2235.804649472597,52.544307,13.371223,13347,Gerichtstr. 60
122,tradamerican,American (Traditional),ZTcs1Un-EC2ssadXifM4Dg,Mogg,€€,110,4.0,+4930330060770,1278.5184415017968,52.526492,13.394437,10117,Auguststr. 11 - 13
123,sandwiches,Sandwiches,ZTcs1Un-EC2ssadXifM4Dg,Mogg,€€,110,4.0,+4930330060770,1278.5184415017968,52.526492,13.394437,10117,Auguststr. 11 - 13
124,chinese,Chinese,f2Q3i3MjsbJSUVhG47Gw-w,Lucky Star,€€,64,4.0,+493056735514,749.0635865678418,52.52559,13.38709,10117,Friedrichstr.127
125,seafood,Seafood,XlAlY5t5ReaPacpgwMcyyQ,Gode Wind,,5,5.0,+493055494120,8279.344525888275,52.4920318609691,13.4860254727387,10317,Gustav-Holzmann-Str. 10
126,venues,Venues & Event Spaces,XlAlY5t5ReaPacpgwMcyyQ,Gode Wind,,5,5.0,+493055494120,8279.344525888275,52.4920318609691,13.4860254727387,10317,Gustav-Holzmann-Str. 10
127,italian,Italian,I0h9RZKCxPud0Azpmr_LDw,Papà Pane di Sorrento,€€,238,4.0,+493028092701,1633.2529695336175,52.53198,13.39639,10115,Ackerstr. 23
128,burgers,Burgers,-85Vif3rqVLHRMOBR-qNSA,Shiso Burger,€€,298,4.0,+493088944687,1583.240627680965,52.52723,13.39883,10119,Auguststr. 29 c
129,schnitzel,Schnitzel,zoGKin7W8L3uyXeXlvc5gg,Schnitzelei Mitte,€€€,48,4.5,+493032519422,898.0743506015705,52.528464,13.387325,10115,Chausseestr. 8
130,syrian,Syrian,cq-jjm28Xv8oNVEZLQ5N-g,Yarok,€,169,4.5,+493095628703,1182.0239454983403,52.5283244,13.3920916,10115,Torstr. 195
131,seafood,Seafood,BEtU3mWiEfNR8ycNCENdvg,Der Fischladen,€€,116,4.5,+493040005612,3433.250891326959,52.54599,13.4125599,10437,Schönhauser Allee 128
132,fishmonger,Fishmonger,BEtU3mWiEfNR8ycNCENdvg,Der Fischladen,€€,116,4.5,+493040005612,3433.250891326959,52.54599,13.4125599,10437,Schönhauser Allee 128
133,fishnchips,Fish & Chips,BEtU3mWiEfNR8ycNCENdvg,Der Fischladen,€€,116,4.5,+493040005612,3433.250891326959,52.54599,13.4125599,10437,Schönhauser Allee 128
134,cafes,Cafes,CPjSn7dFNcC10VhHa9sqZA,Steel Vintage Bikes Café,€€,73,4.5,+493020623877,1384.844689975583,52.51254,13.38211,10117,Wilhelmstr. 91
135,bikes,Bikes,CPjSn7dFNcC10VhHa9sqZA,Steel Vintage Bikes Café,€€,73,4.5,+493020623877,1384.844689975583,52.51254,13.38211,10117,Wilhelmstr. 91
136,breakfast_brunch,Breakfast & Brunch,CPjSn7dFNcC10VhHa9sqZA,Steel Vintage Bikes Café,€€,73,4.5,+493020623877,1384.844689975583,52.51254,13.38211,10117,Wilhelmstr. 91
137,chinese,Chinese,huvKWp95UPlfzpW1-K4cpg,Chen's Wok,,9,4.0,+49303419013,4061.561038140074,52.5133099020105,13.3186600729823,10585,Otto-Suhr-Allee 11 - 13
138,dimsum,Dim Sum,ZEkEL7Lwh9yM33_jpcyjAw,Dan's Dim Sum,€€,18,4.0,+493047372122,3363.096438511895,52.54712,13.40869,10437,Gleimstr. 17
139,chinese,Chinese,f2Q3i3MjsbJSUVhG47Gw-w,Lucky Star,€€,64,4.0,+493056735514,749.0635865678418,52.52559,13.38709,10117,Friedrichstr.127
140,seafood,Seafood,XlAlY5t5ReaPacpgwMcyyQ,Gode Wind,,5,5.0,+493055494120,8279.344525888275,52.4920318609691,13.4860254727387,10317,Gustav-Holzmann-Str. 10
141,venues,Venues & Event Spaces,XlAlY5t5ReaPacpgwMcyyQ,Gode Wind,,5,5.0,+493055494120,8279.344525888275,52.4920318609691,13.4860254727387,10317,Gustav-Holzmann-Str. 10
142,italian,Italian,I0h9RZKCxPud0Azpmr_LDw,Papà Pane di Sorrento,€€,238,4.0,+493028092701,1633.2529695336175,52.53198,13.39639,10115,Ackerstr. 23
143,burgers,Burgers,-85Vif3rqVLHRMOBR-qNSA,Shiso Burger,€€,298,4.0,+493088944687,1583.240627680965,52.52723,13.39883,10119,Auguststr. 29 c
144,schnitzel,Schnitzel,zoGKin7W8L3uyXeXlvc5gg,Schnitzelei Mitte,€€€,48,4.5,+493032519422,898.0743506015705,52.528464,13.387325,10115,Chausseestr. 8
145,syrian,Syrian,cq-jjm28Xv8oNVEZLQ5N-g,Yarok,€,169,4.5,+493095628703,1182.0239454983403,52.5283244,13.3920916,10115,Torstr. 195
146,seafood,Seafood,BEtU3mWiEfNR8ycNCENdvg,Der Fischladen,€€,116,4.5,+493040005612,3433.250891326959,52.54599,13.4125599,10437,Schönhauser Allee 128
147,fishmonger,Fishmonger,BEtU3mWiEfNR8ycNCENdvg,Der Fischladen,€€,116,4.5,+493040005612,3433.250891326959,52.54599,13.4125599,10437,Schönhauser Allee 128
148,fishnchips,Fish & Chips,BEtU3mWiEfNR8ycNCENdvg,Der Fischladen,€€,116,4.5,+493040005612,3433.250891326959,52.54599,13.4125599,10437,Schönhauser Allee 128
149,cafes,Cafes,CPjSn7dFNcC10VhHa9sqZA,Steel Vintage Bikes Café,€€,73,4.5,+493020623877,1384.844689975583,52.51254,13.38211,10117,Wilhelmstr. 91
150,bikes,Bikes,CPjSn7dFNcC10VhHa9sqZA,Steel Vintage Bikes Café,€€,73,4.5,+493020623877,1384.844689975583,52.51254,13.38211,10117,Wilhelmstr. 91
151,breakfast_brunch,Breakfast & Brunch,CPjSn7dFNcC10VhHa9sqZA,Steel Vintage Bikes Café,€€,73,4.5,+493020623877,1384.844689975583,52.51254,13.38211,10117,Wilhelmstr. 91
152,chinese,Chinese,huvKWp95UPlfzpW1-K4cpg,Chen's Wok,,9,4.0,+49303419013,4061.561038140074,52.5133099020105,13.3186600729823,10585,Otto-Suhr-Allee 11 - 13
153,dimsum,Dim Sum,ZEkEL7Lwh9yM33_jpcyjAw,Dan's Dim Sum,€€,18,4.0,+493047372122,3363.096438511895,52.54712,13.40869,10437,Gleimstr. 17
154,korean,Korean,X9MF12TKs84W-y7CVNQo1w,Gogogi,€€,33,4.0,+493055246141,1888.884813241116,52.53079,13.40189,10119,Weinbergsweg 24
155,indpak,Indian,Ul_fxm7Rg-QSsWGPg3xclA,ammAmma,€,61,4.5,+493078718485,4659.9000636300425,52.4850306,13.3522505,10823,Eisenacher Str. 59
156,cuban,Cuban,4L6vbqMCeAQbHUyNRK5QWw,La Casa Buena Vista,€€,63,4.5,+493092370685,6671.559684134366,52.55003,13.46487,13088,Bizetstraße 136
157,cocktailbars,Cocktail Bars,4L6vbqMCeAQbHUyNRK5QWw,La Casa Buena Vista,€€,63,4.5,+493092370685,6671.559684134366,52.55003,13.46487,13088,Bizetstraße 136
158,cajun,Cajun/Creole,4L6vbqMCeAQbHUyNRK5QWw,La Casa Buena Vista,€€,63,4.5,+493092370685,6671.559684134366,52.55003,13.46487,13088,Bizetstraße 136
159,vegetarian,Vegetarian,0VBlZfPnfpWHoMRiSY_iiw,momos,€,12,4.0,+491602688177,834.7947870310736,52.52758,13.38715,10115,Chausseestr. 2
160,vegan,Vegan,0VBlZfPnfpWHoMRiSY_iiw,momos,€,12,4.0,+491602688177,834.7947870310736,52.52758,13.38715,10115,Chausseestr. 2
161,mediterranean,Mediterranean,k2MwXoCpnrsO-tt3QocyzA,Agora,,1,5.0,+493028444898,2955.5010280019787,52.5095,13.41197,10179,Annenstr. 13
162,german,German,3LHWNkukiVBztEXdMXUaLA,Repke Spätzlerei,€,79,4.0,+493088718672,4386.819792136213,52.50421,13.32008,10623,Bleibtreustr. 46
163,mideastern,Middle Eastern,3p9lgQFMsVWPKKw3O1nRPA,Layla,,9,4.5,+4915122563654,2588.77652732829,52.50149,13.38327,10963,Hallesche Str. 10
164,german,German,zoqrQLulC-weIVB83OIc4Q,Elefant,€€,159,4.5,+493023607346,3502.052178173731,52.4989484,13.3453693,10777,Fuggerstr. 18
165,chinese,Chinese,fsZLstZPYEyh0_nfBvaEtg,LIU 成都味道 Chuan Chuan Xiang & Nudelhaus,,10,4.0,+491786684572,1656.89916050009,52.5112694,13.3874362,10117,Kronenstr. 72
166,soup,Soup,fsZLstZPYEyh0_nfBvaEtg,LIU 成都味道 Chuan Chuan Xiang & Nudelhaus,,10,4.0,+491786684572,1656.89916050009,52.5112694,13.3874362,10117,Kronenstr. 72
167,foodstands,Food Stands,F2HUfsf0sBzkjXWiM93ymg,Mustafas Gemüse Kebap,€,1075,4.0,,3498.12945085347,52.493825,13.3880366380635,10961,Mehringdamm 32
