id,category_alias,category_title,restaurant_id,restaurant_name,restaurant_price,restaurant_review_count,restaurant_rating,restaurant_phone,restaurant_distance,restaurant_coordinates_latitude,restaurant_coordinates_longitude,restaurant_location_city,restaurant_location_zip_code,restaurant_location_address1
383,japanese,Japanese,58rr51yN1xFJyggt6PhAQg,Kyō Grill,€€,26,4.5,+493031173692,2672.373235937219,52.53783,13.40865,Berlin,10435,Kastanienallee 23
384,bbq,Barbeque,58rr51yN1xFJyggt6PhAQg,Kyō Grill,€€,26,4.5,+493031173692,2672.373235937219,52.53783,13.40865,Berlin,10435,Kastanienallee 23
385,sushi,Sushi Bars,tj8B6fPOSq-JJHAVpEg4eQ,I-Ke-Su,€€,117,4.5,+493088910939,4489.322983581509,52.49855,13.32485,Berlin,10719,Uhlandstr. 157
386,breakfast_brunch,Breakfast & Brunch,6Ek2tWEgAOtzPejS2gdbvw,Benedict,€€,133,4.0,+4930994040997,4661.6350815427395,52.49683,13.32393,Berlin,10719,Uhlandstr. 49
387,international,International,6Ek2tWEgAOtzPejS2gdbvw,Benedict,€€,133,4.0,+4930994040997,4661.6350815427395,52.49683,13.32393,Berlin,10719,Uhlandstr. 49
388,bangladeshi,Bangladeshi,UxNSAEbWia001jujRNwH-Q,Voson Bilash,€€,1,5.0,+493047594979,4237.353602112358,52.524715,13.313294,Berlin,10589,Goslarer Platz 5
389,korean,Korean,qL4HXzMlxztyGaKHkvFtVQ,CHIBEE,€,10,4.0,+493022326105,2458.5310764231854,52.542915,13.356136,Berlin,13353,Tegeler Str. 29 a
390,italian,Italian,lKdc11vjVPHJThMyz-JiIA,A Posto,€€,76,4.0,+493027595559,1637.939123884802,52.52269,13.39972,Berlin,10178,Monbijouplatz 12
391,pizza,Pizza,lKdc11vjVPHJThMyz-JiIA,A Posto,€€,76,4.0,+493027595559,1637.939123884802,52.52269,13.39972,Berlin,10178,Monbijouplatz 12
392,african,African,WojT8tECn72fHLuoiIYZ4Q,Pan Africa Restaurant,€€,16,4.5,+493054891287,7346.871511773748,52.472388,13.44278,Berlin,12055,Kirchhofstr. 41
393,vegetarian,Vegetarian,EaNxb_VEMtAR4ykn7MC10w,Savory Chay,€€,22,4.5,+493020647692,1677.8641719164239,52.5112499,13.38801,Berlin,10117,Kronenstr. 70
394,panasian,Pan Asian,EaNxb_VEMtAR4ykn7MC10w,Savory Chay,€€,22,4.5,+493020647692,1677.8641719164239,52.5112499,13.38801,Berlin,10117,Kronenstr. 70
395,panasian,Pan Asian,cBFKsKx4VK2j5gE8mjFWyg,Royals & Rice,€€,56,4.0,+493066405111,1464.8351095146093,52.5288899,13.39605,Berlin,10115,Torstr. 164
396,indpak,Indian,__od-DaD6ylYFm4RmZuxmQ,Anand,€€,44,4.0,+493040054759,703.8036149913029,52.5212176252236,13.3848483472214,Berlin,10117,Albrechtstr. 12
397,pizza,Pizza,xY9KgvVRdF_RZ0zCSZCbqA,Calice d´Oro,,4,4.5,+493020219190,1184.1122705791056,52.51661,13.38794,Berlin,10117,Unter den Linden 39
398,cambodian,Cambodian,pi4ePfNrVKBsjakbb5j17Q,Angkor Wat,€€,44,4.0,+49303933922,1415.3862775587734,52.52041,13.35604,Berlin,10557,Paulstr. 22
399,panasian,Pan Asian,pi4ePfNrVKBsjakbb5j17Q,Angkor Wat,€€,44,4.0,+49303933922,1415.3862775587734,52.52041,13.35604,Berlin,10557,Paulstr. 22
