id,category_alias,category_title,restaurant_id,restaurant_name,restaurant_price,restaurant_review_count,restaurant_rating,restaurant_phone,restaurant_distance,restaurant_coordinates_latitude,restaurant_coordinates_longitude,restaurant_location_city,restaurant_location_zip_code,restaurant_location_address1
80,bakeries,Bakeries,fYaEKJzXZvaJ0E9HrtEbTg,Du Bonheur,€€,49,4.5,+493056591955,1987.9928244104124,52.5362432,13.3978679,Berlin,10115,Brunnenstr. 39
81,delicatessen,Delicatessen,fYaEKJzXZvaJ0E9HrtEbTg,Du Bonheur,€€,49,4.5,+493056591955,1987.9928244104124,52.5362432,13.3978679,Berlin,10115,Brunnenstr. 39
82,tradamerican,American (Traditional),ZTcs1Un-EC2ssadXifM4Dg,Mogg,€€,110,4.0,+4930330060770,1278.5184415017968,52.526492,13.394437,Berlin,10117,Auguststr. 11 - 13
83,sandwiches,Sandwiches,ZTcs1Un-EC2ssadXifM4Dg,Mogg,€€,110,4.0,+4930330060770,1278.5184415017968,52.526492,13.394437,Berlin,10117,Auguststr. 11 - 13
84,oriental,Oriental,KdK273qKNfE4J0AizT2rww,Sabzi,€,18,4.5,+491776712732,264.86630651187755,52.52314,13.379268,Berlin,10117,Luisenstr. 15
85,hotdogs,Fast Food,KdK273qKNfE4J0AizT2rww,Sabzi,€,18,4.5,+491776712732,264.86630651187755,52.52314,13.379268,Berlin,10117,Luisenstr. 15
86,mideastern,Middle Eastern,KdK273qKNfE4J0AizT2rww,Sabzi,€,18,4.5,+491776712732,264.86630651187755,52.52314,13.379268,Berlin,10117,Luisenstr. 15
87,greek,Greek,0oZ6GNvAPyItdGcrlSJrcw,Asteria,€€,119,4.5,+493040053571,3083.6039432257235,52.5414439100881,13.4118138626218,Berlin,10435,Schönhauser Allee 143
88,ramen,Ramen,BoF7-MWqdvCPhAlir9KTJw,ULT Ramen,€,17,4.0,,2933.344720746928,52.54999,13.36533,Berlin,13347,Schulstr. 29
89,turkish,Turkish,fcAUXFbhQKjJHbvL7ns8BA,Gümüş,€,15,4.5,+49307812040,4280.9790801171985,52.487484,13.3578894,Berlin,10827,Hauptstr. 148
90,bakeries,Bakeries,fcAUXFbhQKjJHbvL7ns8BA,Gümüş,€,15,4.5,+49307812040,4280.9790801171985,52.487484,13.3578894,Berlin,10827,Hauptstr. 148
91,mexican,Mexican,gpJiSuJ7fFejl1mBXIA_mg,Maria Bonita,€€,185,4.0,,3369.257528985182,52.54039,13.41811,Berlin,10435,Danziger Str. 33
92,persian,Persian/Iranian,Crr51VSLMRKD7EaIsvW4lA,Kourosh,€€,19,4.5,+491729441960,3651.232302035035,52.5001,13.33953,Berlin,10789,Lietzenburger Str. 20 b
93,oriental,Oriental,Crr51VSLMRKD7EaIsvW4lA,Kourosh,€€,19,4.5,+491729441960,3651.232302035035,52.5001,13.33953,Berlin,10789,Lietzenburger Str. 20 b
